specimen_id,MS_institution_code,iDB_institution_code,MS_collection_code,iDB_collection_code,MS_catalog_number,iDB_catalog_number,MS_genus,iDB_genus,MS_species,iDB_species
63,AMNH,AMNH,M,Mammals,41334,M-41334,Daubentonia,Daubentonia,madagascariensis,madagascariensis
65,AMNH,AMNH,M,Mammals,185643,M-185643,Daubentonia,Daubentonia,madagascariensis,madagascariensis
66,AMNH,AMNH,M,Mammals,19159,M-19159,Eulemur,Eulemur,fulvus,fulvus
67,AMNH,AMNH,M,Mammals,18696,M-18696,Eulemur,Eulemur,fulvus,fulvus
84,AMNH,AMNH,M,Mammals,100569,M-100569,Eulemur,Lemur,fulvus,fulvus
85,AMNH,AMNH,M,Mammals,41264,M-41264,Eulemur,Lemur,fulvus,fulvus
86,AMNH,AMNH,M,Mammals,100517,M-100517,Eulemur,Lemur,fulvus,fulvus
87,AMNH,AMNH,M,Mammals,41268,M-41268,Eulemur,Lemur,fulvus,fulvus
88,AMNH,AMNH,M,Mammals,241119,M-241119,Galago,Galago,alleni,alleni
89,AMNH,AMNH,M,Mammals,236348,M-236348,Galago,Galago,alleni,alleni
90,AMNH,AMNH,M,Mammals,119810,M-119810,Galago,Galago,demidovii,demidovii
91,AMNH,AMNH,M,Mammals,241124,M-241124,Galago,Galago,demidovii,demidovii
92,AMNH,AMNH,M,Mammals,239438,M-239438,Galago,Galago,demidovii,demidovii
93,AMNH,AMNH,M,Mammals,241122,M-241122,Galago,Galago,demidovii,demidovii
94,AMNH,AMNH,M,Mammals,187359,M-187359,Galago,Galago,senegalensis,senegalensis
95,AMNH,AMNH,M,Mammals,187360,M-187360,Galago,Galago,senegalensis,senegalensis
96,AMNH,AMNH,M,Mammals,187362,M-187362,Galago,Galago,senegalensis,senegalensis
97,AMNH,AMNH,M,Mammals,100503,M-100503,Indri,Indri,indri,indri
99,AMNH,AMNH,M,Mammals,185638,M-185638,Indri,Indri,indri,indri
100,AMNH,AMNH,M,Mammals,100504,M-100504,Indri,Indri,indri,indri
101,AMNH,AMNH,M,Mammals,170737,M-170737,Lemur,Lemur,catta,catta
102,AMNH,AMNH,M,Mammals,100598,M-100598,Lemur,Lemur,catta,catta
103,AMNH,AMNH,M,Mammals,100821,M-100821,Lemur,Lemur,catta,catta
104,AMNH,AMNH,M,Mammals,170743,M-170743,Lemur,Lemur,catta,catta
105,AMNH,AMNH,M,Mammals,170740,M-170740,Lemur,Lemur,catta,catta
106,AMNH,AMNH,M,Mammals,170741,M-170741,Lemur,Lemur,catta,catta
107,AMNH,AMNH,M,Mammals,100642,M-100642,Lepilemur,Lepilemur,mustelinus,mustelinus
108,AMNH,AMNH,M,Mammals,170576,M-170576,Lepilemur,Lepilemur,mustelinus,mustelinus
109,AMNH,AMNH,M,Mammals,170578,M-170578,Lepilemur,Lepilemur,mustelinus,mustelinus
110,AMNH,AMNH,M,Mammals,170569,M-170569,Lepilemur,Lepilemur,mustelinus,mustelinus
111,AMNH,AMNH,M,Mammals,100612,M-100612,Lepilemur,Lepilemur,mustelinus,mustelinus
112,AMNH,AMNH,M,Mammals,165931,M-165931,Loris,Loris,tardigradus,tardigradus
113,AMNH,AMNH,M,Mammals,150062,M-150062,Loris,Loris,tardigradus,tardigradus
114,AMNH,AMNH,M,Mammals,240827,M-240827,Loris,Loris,tardigradus,tardigradus
115,AMNH,AMNH,M,Mammals,217303,M-217303,Loris,Loris,tardigradus,tardigradus
116,AMNH,AMNH,M,Mammals,174530,M-174530,Microcebus,Microcebus,griseorufus,murinus
117,AMNH,AMNH,M,Mammals,174533,M-174533,Microcebus,Microcebus,griseorufus,murinus
118,AMNH,AMNH,M,Mammals,174534,M-174534,Microcebus,Microcebus,griseorufus,murinus
119,AMNH,AMNH,M,Mammals,174498,M-174498,Microcebus,Microcebus,griseorufus,murinus
120,AMNH,AMNH,M,Mammals,174483,M-174483,Microcebus,Microcebus,griseorufus,murinus
121,AMNH,AMNH,M,Mammals,174531,M-174531,Microcebus,Microcebus,griseorufus,murinus
122,AMNH,AMNH,M,Mammals,174489,M-174489,Microcebus,Microcebus,griseorufus,murinus
123,AMNH,AMNH,M,Mammals,100832,M-100832,Microcebus,Microcebus,coquereli,coquereli
125,AMNH,AMNH,M,Mammals,87279,M-87279,Nycticebus,Nycticebus,coucang,coucang
126,AMNH,AMNH,M,Mammals,183827,M-183827,Nycticebus,Nycticebus,coucang,coucang
127,AMNH,AMNH,M,Mammals,164442,M-164442,Nycticebus,Nycticebus,coucang,coucang
128,AMNH,AMNH,M,Mammals,106650,M-106650,Nycticebus,Nycticebus,coucang,coucang
129,AMNH,AMNH,M,Mammals,106653,M-106653,Nycticebus,Nycticebus,coucang,coucang
130,AMNH,AMNH,M,Mammals,101508,M-101508,Nycticebus,Nycticebus,coucang,coucang
131,AMNH,AMNH,M,Mammals,101782,M-101782,Nycticebus,Nycticebus,coucang,coucang
132,AMNH,AMNH,M,Mammals,102845,M-102845,Nycticebus,Nycticebus,coucang,coucang
133,AMNH,AMNH,M,Mammals,269907,M-269907,Perodicticus,Perodicticus,potto,potto
134,AMNH,AMNH,M,Mammals,269860,M-269860,Perodicticus,Perodicticus,potto,potto
136,AMNH,AMNH,M,Mammals,269851,M-269851,Perodicticus,Perodicticus,potto,potto
137,AMNH,AMNH,M,Mammals,241117,M-241117,Perodicticus,Perodicticus,potto,potto
138,AMNH,AMNH,M,Mammals,31252,M-31252,Perodicticus,Perodicticus,potto,potto
139,AMNH,AMNH,M,Mammals,100829,M-100829,Phaner,Phaner,furcifer,furcifer
141,AMNH,AMNH,M,Mammals,100633,M-100633,Propithecus,Propithecus,diadema,diadema
142,AMNH,AMNH,M,Mammals,17356,M-17356,Propithecus,Propithecus,diadema,diadema
145,USNM,USNM,,Paleobiology,257397,PAL257397,Propithecus,Eponides,verreauxi,sp a
146,AMNH,AMNH,M,Mammals,16699,M-16699,Propithecus,Propithecus,verreauxi,verreauxi
147,AMNH,AMNH,M,Mammals,100827,M-100827,Propithecus,Propithecus,verreauxi,verreauxi
148,AMNH,AMNH,M,Mammals,106649,M-106649,Tarsius,Tarsius,bancanus,bancanus
149,AMNH,AMNH,M,Mammals,106754,M-106754,Tarsius,Tarsius,borneanus,bancanus
150,AMNH,AMNH,M,Mammals,109368,M-109368,Tarsius,Tarsius,spectrum,spectrum
151,AMNH,AMNH,M,Mammals,109366,M-109366,Tarsius,Tarsius,spectrum,spectrum
152,AMNH,AMNH,M,Mammals,196485,M-196485,Tarsius,Tarsius,spectrum,spectrum
153,AMNH,AMNH,M,Mammals,196480,M-196480,Tarsius,Tarsius,spectrum,spectrum
154,AMNH,AMNH,M,Mammals,166856,M-166856,Tarsius,Tarsius,syricta,syrichta
155,AMNH,AMNH,M,Mammals,203297,M-203297,Tarsius,Tarsius,syricta,syrichta
156,AMNH,AMNH,M,Mammals,187935,M-187935,Tarsius,Tarsius,syricta,syrichta
157,AMNH,AMNH,M,Mammals,100514,M-100514,Varecia,Varecia,variegata,variegata
158,AMNH,AMNH,M,Mammals,100513,M-100513,Varecia,Varecia,variegata,variegata
159,AMNH,AMNH,M,Mammals,245092,M-245092,Varecia,Varecia,variegata,variegata
160,AMNH,AMNH,M,Mammals,18041,M-18041,Varecia,Varecia,variegata,variegata
161,AMNH,AMNH,M,Mammals,17338,M-17338,Varecia,Varecia,variegata,variegata
162,AMNH,AMNH,M,Mammals,100512,M-100512,Varecia,Varecia,variegata,variegata
166,AMNH,AMNH,M,Mammals,236349,M-236349,Galago,Galago,alleni,alleni
173,AMNH,AMNH,M,Mammals,28420,M-28420,Ateles,Ateles,geoffroyi,geoffroyi
201,USNM,USNM,,Paleobiology,317966,PAL317966,Hapalemur,Quercus,griseus,virginiana
203,USNM,USNM,,Paleobiology,377375,PAL377375,Arctocebus,Gastrocopta,calabarensis,sp a
204,USNM,USNM,,Mammals,511930,511930,Arctocebus,Arctocebus,calabarensis,calabarensis
205,AMNH,AMNH,M,Mammals,100505,M-100505,Indri,Indri,indri,indri
206,AMNH,AMNH,M,Mammals,100506,M-100506,Indri,Indri,indri,indri
207,AMNH,AMNH,M,Mammals,100508,M-100508,Indri,Indri,indri,indri
208,AMNH,AMNH,M,Mammals,100507,M-100507,Indri,Indri,indri,indri
209,AMNH,AMNH,M,Mammals,100816,M-100816,Indri,Indri,indri,indri
210,MCZ,MCZ,,Mamm,45126,45126,Mirza,Microcebus,coquereli,murinus
211,MCZ,MCZ,,Mamm,44953,44953,Phaner,Phaner,furcifer,furcifer
212,USNM,USNM,,Paleobiology,171063,PAL171063,Alouatta,Bathylagus,palliata,sp
213,USNM,USNM,,Mammals,284782,284782,Alouatta,Alouatta,palliata,palliata
214,USNM,USNM,,Paleobiology,290601,PAL290601,Alouatta,Lithornis,palliata,celetius
215,USNM,USNM,,Paleobiology,123517,PAL123517,Alouatta,Spathognathodus,seniculus,inornatus
216,USNM,USNM,,Paleobiology,281658,PAL281658,Alouatta,Carcharodon,seniculus,megalodon
217,USNM,USNM,,Paleobiology,281673,PAL281673,Alouatta,Redfieldia,seniculus,gracilis
218,USNM,USNM,,Paleobiology,281741,PAL281741,Alouatta,Lingulella,seniculus,sp
219,USNM,USNM,,Paleobiology,281751,PAL281751,Alouatta,Lingulella,seniculus,sp
221,AMNH,AMNH,M,Mammals,211460,M-211460,Aotus,Aotus,azarae,azarae
222,AMNH,AMNH,M,Mammals,211465,M-211465,Aotus,Aotus,azarae,azarae
223,AMNH,AMNH,M,Mammals,147472,M-147472,Aotus,Aotus,nigriceps,nigriceps
224,AMNH,AMNH,M,Mammals,67246,M-67246,Aotus,Aotus,nigriceps,nigriceps
225,AMNH,AMNH,M,Mammals,75996,M-75996,Aotus,Aotus,nigriceps,nigriceps
226,AMNH,AMNH,M,Mammals,75999,M-75999,Aotus,Aotus,nigriceps,nigriceps
227,AMNH,AMNH,M,Mammals,76002,M-76002,Aotus,Aotus,nigriceps,nigriceps
228,AMNH,AMNH,M,Mammals,92804,M-92804,Aotus,Aotus,nigriceps,nigriceps
229,AMNH,AMNH,M,Mammals,92809,M-92809,Aotus,Aotus,nigriceps,nigriceps
230,USNM,USNM,,Paleobiology,364486,PAL364486,Aotus,Cordaites,nigriceps,spatulata
231,AMNH,AMNH,M,Mammals,67102,M-67102,Ateles,Ateles,belzebuth,belzebuth
232,AMNH,AMNH,M,Mammals,71787,M-71787,Ateles,Ateles,belzebuth,belzebuth
233,AMNH,AMNH,M,Mammals,76882,M-76882,Ateles,Ateles,belzebuth,belzebuth
234,USNM,USNM,,Mammals,241384,241384,Ateles,Ateles,belzebuth,belzebuth
235,USNM,USNM,,Mammals,406674,406674,Ateles,Ateles,belzebuth,belzebuth
236,USNM,USNM,,Mammals,406675,406675,Ateles,Ateles,belzebuth,belzebuth
237,MCZ,MCZ,,Mamm,34320,34320,Ateles,Ateles,geoffroyi,geoffroyi
238,MCZ,MCZ,BOM,Mamm,5344,5344,Ateles,Scotophilus,geoffroyi,wroughtoni
239,USNM,USNM,,Paleobiology,336204,PAL336204,Ateles,Carcharodon,geoffroyi,carcharias
240,MCZ,MCZ,,Mamm,31759,31759,Ateles,Ateles,paniscus,paniscus
241,MCZ,MCZ,,Mamm,5070,5070,Brachyteles,Felis,arachnoides,tigris
242,AMNH,AMNH,M,Mammals,73720,M-73720,Cacajao,Cacajao,calvus,calvus
243,AMNH,AMNH,M,Mammals,76391,M-76391,Cacajao,Cacajao,calvus,calvus
244,AMNH,AMNH,M,Mammals,76648,M-76648,Cacajao,Cacajao,calvus,calvus
245,AMNH,AMNH,M,Mammals,98316,M-98316,Cacajao,Cacajao,calvus,calvus
246,AMNH,AMNH,M,Mammals,98397,M-98397,Cacajao,Cacajao,calvus,calvus
247,AMNH,AMNH,M,Mammals,78566,M-78566,Cacajao,Cacajao,melanocephalus,melanocephalus
248,AMNH,AMNH,M,Mammals,78569,M-78569,Cacajao,Cacajao,melanocephalus,melanocephalus
249,USNM,USNM,,Paleobiology,256215,PAL256215,Cacajao,Genus,melanocephalus,sp
250,USNM,USNM,,Mammals,406423,406423,Cacajao,Cacajao,melanocephalus,melanocephalus
251,AMNH,AMNH,M,Mammals,211491,M-211491,Callicebus,Callicebus,donacophilus,donacophilus
252,AMNH,AMNH,M,Mammals,211494,M-211494,Callicebus,Callicebus,donacophilus,donacophilus
253,AMNH,AMNH,M,Mammals,40834,M-40834,Callicebus,Callicebus,donacophilus,donacophilus
254,AMNH,AMNH,M,Mammals,94972,M-94972,Callicebus,Callicebus,moloch,moloch
255,AMNH,AMNH,M,Mammals,94979,M-94979,Callicebus,Callicebus,moloch,moloch
256,AMNH,AMNH,M,Mammals,76861,M-76861,Callicebus,Callicebus,torquatus,torquatus
257,AMNH,AMNH,M,Mammals,77300,M-77300,Callicebus,Callicebus,torquatus,torquatus
258,AMNH,AMNH,M,Mammals,78466,M-78466,Callicebus,Callicebus,torquatus,torquatus
259,AMNH,AMNH,M,Mammals,78473,M-78473,Callicebus,Callicebus,torquatus,torquatus
260,AMNH,AMNH,M,Mammals,78580,M-78580,Callicebus,Callicebus,torquatus,torquatus
261,AMNH,AMNH,M,Mammals,239863,M-239863,Cebus,Cebus,apella,apella
262,AMNH,AMNH,M,Mammals,239864,M-239864,Cebus,Cebus,apella,apella
263,AMNH,AMNH,M,Mammals,78501,M-78501,Cebus,Cebus,apella,apella
264,USNM,USNM,,Paleobiology,296634,PAL296634,Cebus,Negaprion,apella,sp
265,USNM,USNM,,Paleobiology,361019,PAL361019,Cebus,Leptotomus,apella,parvus
266,USNM,USNM,,Paleobiology,461384,PAL461384,Cebus,Anorthopygus,apella,orbicularis
267,USNM,USNM,,Paleobiology,291123,PAL291123,Cebus,Merluccius,capucinus,bilinearis
268,USNM,USNM,,Mammals,291128,291128,Cebus,Cebus,capucinus,capucinus
269,USNM,USNM,,Paleobiology,291133,PAL291133,Cebus,Sciaenops,capucinus,sp
270,USNM,USNM,,Mammals,464845,464845,Cebus,Cebus,capucinus,capucinus
273,AMNH,AMNH,M,Mammals,95302,M-95302,Chiropotes,Chiropotes,albinasus,albinasus
274,MCZ,MCZ,,Mamm,31701,31701,Chiropotes,Chiropotes,albinasus,albinasus
275,USNM,USNM,,Mammals,543357,543357,Chiropotes,Chiropotes,albinasus,albinasus
276,USNM,USNM,,Paleobiology,338962,PAL338962,Chiropotes,Operculinoides,satanas,georgianus
277,USNM,USNM,,Mammals,406583,406583,Chiropotes,Chiropotes,satanas,satanas
278,USNM,USNM,,Mammals,406593,406593,Chiropotes,Chiropotes,satanas,satanas
279,USNM,USNM,,Paleobiology,546263,PAL546263,Chiropotes,Genus,satanas,sp
280,USNM,USNM,,Paleobiology,546264,PAL546264,Chiropotes,Genus,satanas,sp
281,USNM,USNM,,Paleobiology,549519,PAL549519,Chiropotes,,satanas,
282,USNM,USNM,,Paleobiology,545878,PAL545878,Lagothrix,Dyscritellopsis,lagotricha,thaynesianus
283,USNM,USNM,,Paleobiology,545879,PAL545879,Lagothrix,Dyscritellopsis,lagotricha,thaynesianus
284,USNM,USNM,,Paleobiology,545887,PAL545887,Lagothrix,Dyscritellopsis,lagotricha,thaynesianus
285,USNM,USNM,,Paleobiology,545890,PAL545890,Lagothrix,Dyscritellopsis,lagotricha,thaynesianus
286,AMNH,AMNH,M,Mammals,188142,M-188142,Lagothrix,Lagothrix,lagotricha,lagotricha
287,AMNH,AMNH,M,Mammals,71767,M-71767,Lagothrix,Lagothrix,lagotricha,lagotricha
288,AMNH,AMNH,M,Mammals,71776,M-71776,Lagothrix,Lagothrix,lagotricha,lagotricha
289,AMNH,AMNH,M,Mammals,71780,M-71780,Lagothrix,Lagothrix,lagotricha,lagotricha
290,AMNH,AMNH,M,Mammals,76393,M-76393,Lagothrix,Lagothrix,lagotricha,lagotricha
291,AMNH,AMNH,M,Mammals,98332,M-98332,Lagothrix,Lagothrix,lagotricha,lagotricha
292,AMNH,AMNH,M,Mammals,76412,M-76412,Pithecia,Pithecia,monachus,monachus
293,MCZ,MCZ,,Mamm,30720,30720,Pithecia,Pithecia,monachus,monachus
294,USNM,USNM,,Paleobiology,461919,PAL461919,Pithecia,Conulus,monachus,albogalerus
295,USNM,USNM,,Paleobiology,545891,PAL545891,Pithecia,Dyscritellopsis,monachus,thaynesianus
296,USNM,USNM,,Mammals,374744,374744,Pithecia,Pithecia,pithecia,pithecia
297,USNM,USNM,,Mammals,374745,374745,Pithecia,Pithecia,pithecia,pithecia
298,USNM,USNM,,Mammals,374746,374746,Pithecia,Pithecia,pithecia,pithecia
299,USNM,USNM,,Mammals,374756,374756,Pithecia,Pithecia,pithecia,pithecia
300,USNM,USNM,,Mammals,374759,374759,Pithecia,Pithecia,pithecia,pithecia
301,USNM,USNM,,Mammals,374767,374767,Pithecia,Pithecia,pithecia,pithecia
302,AMNH,AMNH,M,Mammals,38792,M-38792,Saimiri,Saimiri,boliviensis,boliviensis
303,AMNH,AMNH,M,Mammals,76003,M-76003,Saimiri,Saimiri,boliviensis,boliviensis
304,AMNH,AMNH,M,Mammals,76583,M-76583,Saimiri,Saimiri,boliviensis,boliviensis
305,AMNH,AMNH,M,Mammals,76586,M-76586,Saimiri,Saimiri,boliviensis,boliviensis
306,AMNH,AMNH,M,Mammals,98272,M-98272,Saimiri,Saimiri,boliviensis,boliviensis
307,USNM,USNM,,Mammals,364497,364497,Saimiri,Saimiri,boliviensis,boliviensis
308,USNM,USNM,,Paleobiology,396265,PAL396265,Saimiri,Apteribis,boliviensis,sp
309,USNM,USNM,,Paleobiology,518547,PAL518547,Saimiri,Heliophyllum,sciureus,halli
310,USNM,USNM,,Paleobiology,545893,PAL545893,Saimiri,Dyscritellopsis,sciureus,thaynesianus
311,USNM,USNM,,Paleobiology,546267,PAL546267,Saimiri,Glyptops,sciureus,pervicax
342,USNM,USNM,,Paleobiology,281758,PAL281758,Alouatta,Lingulella,seniculus,sp
344,UCMP,UCMP,,V,38989,38989,Stirtonia,Stirtonia,tatacoensis,tatacoensis
369,UCMP,UCMP,,V,39204,39204,Homunculus,Homunculus,tatacoensis,tatacoensis
370,UCMP,UCMP,,V,39205,39205,Neosaimiri,Neosaimiri,fieldsi,fieldsi
373,UCMP,UCMP,,V,38762,38762,Cebupithecia,Cebupithecia,sarmientoi,sarmientoi
374,UCMP,UCMP,,V,218345,218345,Omomyidae,,incertae sedis,
375,UCMP,UCMP,,V,217911,217911,Adapidae,,incertae sedis,
376,UCMP,UCMP,,V,217914,217914,Adapidae,,incertae sedis,
377,UCMP,UCMP,,V,217917,217917,Adapidae,,incertae sedis,
378,UCMP,UCMP,,V,217918,217918,Adapidae,,incertae sedis,
379,UCMP,UCMP,,V,217938,217938,Omomyidae,,incertae sedis,
380,UCMP,UCMP,,V,217955,217955,Omomyidae,,incertae sedis,
381,UCMP,UCMP,,V,217959,217959,Omomyidae,,incertae sedis,
382,UCMP,UCMP,,V,217987,217987,Omomyidae,,incertae sedis,
383,UCMP,UCMP,,V,218122,218122,Omomyidae,,incertae sedis,
384,UCMP,UCMP,,V,218189,218189,Omomyidae,,incertae sedis,
385,UCMP,UCMP,,V,218221,218221,Omomyidae,,incertae sedis,
386,UCMP,UCMP,,V,218222,218222,Omomyidae,,incertae sedis,
387,UCMP,UCMP,,V,218316,218316,Omomyidae,,incertae sedis,
388,UCMP,UCMP,,V,218318,218318,Omomyidae,,incertae sedis,
389,UCMP,UCMP,,V,218355,218355,Omomyidae,,incertae sedis,
390,UCMP,UCMP,,V,218364,218364,Adapidae,,incertae sedis,
391,UCMP,UCMP,,V,218367,218367,Adapidae,,incertae sedis,
392,UCMP,UCMP,,V,217937,217937,Omomyidae,,incertae sedis,
393,UCMP,UCMP,,V,217968,217968,Omomyidae,,incertae sedis,
394,UCMP,UCMP,,V,218326,218326,Omomyidae,,incertae sedis,
395,UCMP,UCMP,,V,218223,218223,Omomyidae,,incertae sedis,
468,AMNH,AMNH,M,Mammals,109367,M-109367,Tarsius,Tarsius,spectrum,spectrum
469,AMNH,AMNH,M,Mammals,109369,M-109369,Tarsius,Tarsius,spectrum,spectrum
470,AMNH,AMNH,M,Mammals,203296,M-203296,Tarsius,Tarsius,syricta,syrichta
471,AMNH,AMNH,M,Mammals,212958,M-212958,Galago,Galago,demidovii,demidovii
472,AMNH,AMNH,M,Mammals,212956,M-212956,Galago,Galago,demidovii,demidovii
473,AMNH,AMNH,M,Mammals,241121,M-241121,Galago,Galago,demidovii,demidovii
474,AMNH,AMNH,M,Mammals,187358,M-187358,Galago,Galago,senegalensis,senegalensis
475,AMNH,AMNH,M,Mammals,35445,M-35445,Galago,Galago,senegalensis,
476,AMNH,AMNH,M,Mammals,87064,M-87064,Galago,Galago,senegalensis,senegalensis
477,AMNH,AMNH,M,Mammals,119521,M-119521,Galago,Galago,senegalensis,senegalensis
478,AMNH,AMNH,M,Mammals,70410,M-70410,Galago,Galago,senegalensis,
480,AMNH,AMNH,M,Mammals,216239,M-216239,Otolemur,Galago,crassicaudatus,crassicaudatus
481,AMNH,AMNH,M,Mammals,216244,M-216244,Otolemur,Galago,crassicaudatus,crassicaudatus
482,AMNH,AMNH,M,Mammals,216241,M-216241,Otolemur,Galago,crassicaudatus,crassicaudatus
483,AMNH,AMNH,M,Mammals,80801,M-80801,Otolemur,Galago,crassicaudatus,crassicaudatus
487,AMNH,AMNH,M,Mammals,241127,M-241127,Euoticus,Euoticus,elegantulus,elegantulus
488,AMNH,AMNH,M,Mammals,174415,M-174415,Microcebus,Microcebus,griseorufus,murinus
489,AMNH,AMNH,M,Mammals,174430,M-174430,Microcebus,Microcebus,griseorufus,murinus
490,AMNH,AMNH,M,Mammals,174431,M-174431,Microcebus,Microcebus,griseorufus,murinus
491,AMNH,AMNH,M,Mammals,174471,M-174471,Microcebus,Microcebus,griseorufus,murinus
496,AMNH,AMNH,M,Mammals,170708,M-170708,Eulemur,Lemur,fulvus,fulvus
497,AMNH,AMNH,M,Mammals,170717,M-170717,Eulemur,Lemur,fulvus,fulvus
498,AMNH,AMNH,M,Mammals,170723,M-170723,Eulemur,Lemur,fulvus,fulvus
499,AMNH,AMNH,M,Mammals,170728,M-170728,Eulemur,Lemur,fulvus,fulvus
500,AMNH,AMNH,M,Mammals,31254,M-31254,Eulemur,Eulemur,fulvus,fulvus
501,AMNH,AMNH,M,Mammals,17403,M-17403,Eulemur,Eulemur,fulvus,mongoz
502,AMNH,AMNH,M,Mammals,170680,M-170680,Hapalemur,Hapalemur,griseus,griseus
503,AMNH,AMNH,M,Mammals,170689,M-170689,Hapalemur,Hapalemur,griseus,griseus
504,AMNH,AMNH,M,Mammals,61589,M-61589,Hapalemur,Hapalemur,griseus,griseus
505,AMNH,AMNH,M,Mammals,170675,M-170675,Hapalemur,Hapalemur,griseus,griseus
510,AMNH,AMNH,M,Mammals,201384,M-201384,Varecia,Varecia,variegata,variegata
511,AMNH,AMNH,M,Mammals,22912,M-22912,Lemur,Lemur,catta,catta
512,AMNH,AMNH,M,Mammals,170739,M-170739,Lemur,Lemur,catta,catta
513,AMNH,AMNH,M,Mammals,170556,M-170556,Lepilemur,Lepilemur,mustelinus,mustelinus
515,AMNH,AMNH,M,Mammals,170560,M-170560,Lepilemur,Lepilemur,mustelinus,mustelinus
516,AMNH,AMNH,M,Mammals,170568,M-170568,Lepilemur,Lepilemur,mustelinus,mustelinus
517,AMNH,AMNH,M,Mammals,170559,M-170559,Lepilemur,Lepilemur,mustelinus,mustelinus
518,AMNH,AMNH,M,Mammals,208992,M-208992,Indri,Indri,indri,indri
519,AMNH,AMNH,M,Mammals,208989,M-208989,Propithecus,Propithecus,coquereli,verreauxi
520,AMNH,AMNH,M,Mammals,170474,M-170474,Propithecus,Propithecus,verreauxi,verreauxi
521,AMNH,AMNH,M,Mammals,170491,M-170491,Propithecus,Propithecus,verreauxi,verreauxi
524,AMNH,AMNH,M,Mammals,170471,M-170471,Propithecus,Propithecus,verreauxi,verreauxi
525,AMNH,AMNH,M,Mammals,34256,M-34256,Loris,Loris,tardigradus,tardigradus
526,AMNH,AMNH,M,Mammals,150038,M-150038,Loris,Loris,tardigradus,tardigradus
527,AMNH,AMNH,M,Mammals,16591,M-16591,Nycticebus,Nycticebus,coucang,coucang
528,AMNH,AMNH,M,Mammals,102027,M-102027,Nycticebus,Nycticebus,coucang,coucang
529,AMNH,AMNH,M,Mammals,90381,M-90381,Nycticebus,Nycticebus,coucang,coucang
530,AMNH,AMNH,M,Mammals,184597,M-184597,Perodicticus,Perodicticus,potto,potto
531,AMNH,AMNH,M,Mammals,52685,M-52685,Perodicticus,Perodicticus,potto,potto
532,AMNH,AMNH,M,Mammals,119601,M-119601,Hylobates,Hylobates,lar,lar
533,AMNH,AMNH,M,Mammals,106583,M-106583,Symphalangus,Hylobates,syndactylus,syndactylus
534,AMNH,AMNH,M,Mammals,146725,M-146725,Hylobates,Hylobates,sp.,
535,AMNH,AMNH,M,Mammals,106599,M-106599,Presbytis,Presbytis,melalophos,melalophos
536,MCZ,MCZ,,Mamm,37670,37670,Trachypithecus,Presbytis,cristata,cristata
539,MCZ,MCZ,,Mamm,37327,37327,Nasalis,Nasalis,larvatus,larvatus
542,MCZ,MCZ,,Mamm,35613,35613,Macaca,Macaca,fascicularis,fascicularis
