media_file_id,media_file_derived_from,num_media_files_derived_from_this,media_group_id,media_group_derived_from,num_media_groups_derived_from_this,specimen_id,specimen_institution_code,specimen_collection_code,specimen_catalog_number,specimen_genus,specimen_species,total_downloads,dl_intended_use_School,dl_intended_use_School_K_6,dl_intended_use_School_7_12,dl_intended_use_School_College_Post_Secondary,dl_intended_use_School_Graduate_school,dl_intended_use_Education,dl_intended_use_Education_K_6,dl_intended_use_Education_7_12,dl_intended_use_Education_College_Post_Secondary,dl_intended_use_Educaton_general,dl_intended_use_Education_museums_public_outreach,dl_intended_use_Personal_interest,dl_intended_use_Research,dl_intended_use_Commercial,dl_intended_use_Art,dl_intended_use_other,dl_intended_use_3d_print,total_download_users,u_affiliation_Student,u_affiliation_Student:_K-6,u_affiliation_Student:7-12,u_affiliation_Student:_College/Post-Secondary,u_affiliation_Student:_Graduate,u_affiliation_Faculty,u_affiliation_Faculty:_K-6,u_affiliation_Faculty:7-12,u_affiliation_Faculty_College/Post-Secondary,u_affiliation_Staff:_College/Post-Secondary,u_affiliation_General_Educator,u_affiliation_Museum,u_affiliation_Museum_Curator,u_affiliation_Museum_Staff,u_affiliation_Librarian,u_affiliation_IT,u_affiliation_Private_Individual,u_affiliation_Researcher,u_affiliation_Private_Industry,u_affiliation_Artist,u_affiliation_Government,u_affiliation_other
35833,,0,18954,,0,8827,uf,herp,117384,Bronchocela,cristatella,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,For testing our own custom designed tridimensional display,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
35835,,0,18954,,0,8827,uf,herp,117384,Bronchocela,cristatella,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,20823,,0,10022,uf,herp,14580,Anolis,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39619,,0,20823,,0,10022,uf,herp,14580,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39615,,0,20823,,0,10022,uf,herp,14580,Anolis,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,9741,,0,4035,UF,H,43204,Hemiphractus,proboscideus,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
13642,,0,9741,,0,4035,UF,H,43204,Hemiphractus,proboscideus,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
13643,,0,9741,,0,4035,UF,H,43204,Hemiphractus,proboscideus,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
13742,,0,9741,,0,4035,UF,H,43204,Hemiphractus,proboscideus,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
,,,12302,,0,4845,UF,H,110645,Gastrophryne,carolinensis,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
20081,,0,12302,,0,4845,UF,H,110645,Gastrophryne,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
25074,,0,12302,,0,4845,UF,H,110645,Gastrophryne,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25067,,0,12302,,0,4845,UF,H,110645,Gastrophryne,carolinensis,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,19044,,0,8911,uf,herp,84151,Ceratophora,stoddartii,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
36104,35978,0,19044,,0,8911,uf,herp,84151,Ceratophora,stoddartii,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
35978,,1,19044,,0,8911,uf,herp,84151,Ceratophora,stoddartii,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
,,,12291,,0,4833,UF,H,76511,Rana,clamitans,31,1,0,0,1,0,1,0,0,1,0,0,1,4,0,0,,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,
20064,,0,12291,,0,4833,UF,H,76511,Rana,clamitans,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
20098,,0,12291,,0,4833,UF,H,76511,Rana,clamitans,29,1,0,0,1,0,1,0,0,1,0,0,0,2,0,0,,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
,,,18635,,0,8652,uf,herp,89641,Hemidactylus,turcicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35343,,0,18635,,0,8652,uf,herp,89641,Hemidactylus,turcicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,13338,,0,5271,UF,H,65587,Boa,constrictor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23234,,0,13338,,0,5271,UF,H,65587,Boa,constrictor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,13914,,0,11023,uf,herp,20016,Uperodon,montanus,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
24427,,0,13914,,0,11023,uf,herp,20016,Uperodon,montanus,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
24428,,0,13914,,0,11023,uf,herp,20016,Uperodon,montanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25015,,0,13914,,0,11023,uf,herp,20016,Uperodon,montanus,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,19913,,0,9483,uf,herp,9204,Anolis,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
37741,,0,19913,,0,9483,uf,herp,9204,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37742,,0,19913,,0,9483,uf,herp,9204,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37743,,0,19913,,0,9483,uf,herp,9204,Anolis,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,16930,,0,7470,UF,herp,158588,Hemidactylus,turcicus,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
34469,,0,16930,,0,7470,UF,herp,158588,Hemidactylus,turcicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31463,,0,16930,,0,7470,UF,herp,158588,Hemidactylus,turcicus,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,16932,,0,7471,uf,herp,87834,Hemidactylus,turcicus,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
31466,,0,16932,,0,7471,uf,herp,87834,Hemidactylus,turcicus,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
34470,,0,16932,,0,7471,uf,herp,87834,Hemidactylus,turcicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,10789,,0,4428,UF,H,69917,Rhineura,floridana,7,1,0,0,0,1,4,0,0,2,0,2,3,4,0,2,,3,6,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,
16204,,0,10789,,0,4428,UF,H,69917,Rhineura,floridana,7,1,0,0,0,1,4,0,0,2,0,2,3,4,0,2,,3,6,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,
,,,10790,,0,4429,UF,H,51437,Rhineura,floridana,2,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16205,,0,10790,,0,4429,UF,H,51437,Rhineura,floridana,2,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,22056,,0,10073,uf,herp,104602,Rhaebo,blombergi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42667,,0,22056,,0,10073,uf,herp,104602,Rhaebo,blombergi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,21033,,0,9713,uf,herp,26607,Ambystoma,maculatum,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
39944,,0,21033,,0,9713,uf,herp,26607,Ambystoma,maculatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39945,,0,21033,,0,9713,uf,herp,26607,Ambystoma,maculatum,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
,,,10795,,0,4433,UF,H,121174,Rhineura,floridana,2,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16212,,0,10795,,0,4433,UF,H,121174,Rhineura,floridana,2,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,10797,,0,4434,UF,H,79732,Rhineura,floridana,3,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16216,,0,10797,,0,4434,UF,H,79732,Rhineura,floridana,3,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,10798,,0,4435,UF,H,128407,Rhineura,floridana,3,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,
16217,,0,10798,,0,4435,UF,H,128407,Rhineura,floridana,3,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,
,,,10800,,0,4436,UF,H,140797,Rhineura,floridana,2,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16220,,0,10800,,0,4436,UF,H,140797,Rhineura,floridana,2,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,18636,,0,8653,uf,herp,89642,Hemidactylus,turcicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35344,,0,18636,,0,8653,uf,herp,89642,Hemidactylus,turcicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,9781,,0,4064,UF,H,159-19,Pseudacris,ornata,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,
13744,,0,9781,,0,4064,UF,H,159-19,Pseudacris,ornata,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
13743,,0,9781,,0,4064,UF,H,159-19,Pseudacris,ornata,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,
,,,9784,,0,4067,UF,H,43260,Adenomera,andreae,8,0,0,0,0,0,2,0,0,2,0,0,0,6,0,0,,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,
13763,,0,9784,,0,4067,UF,H,43260,Adenomera,andreae,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,
13750,,0,9784,,0,4067,UF,H,43260,Adenomera,andreae,5,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,
,,,21172,,0,10220,uf,herp,126296,Moloch,horridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40231,,0,21172,,0,10220,uf,herp,126296,Moloch,horridus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,19002,,0,8866,UF,H,157664,Omoadiphas,aurula,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,
35923,,0,19002,,0,8866,UF,H,157664,Omoadiphas,aurula,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,
35924,,0,19002,,0,8866,UF,H,157664,Omoadiphas,aurula,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,
,,,19233,,0,10941,uf,herp,177072,Triturus,cristatus,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
36377,,0,19233,,0,10941,uf,herp,177072,Triturus,cristatus,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
36378,,0,19233,,0,10941,uf,herp,177072,Triturus,cristatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,19915,,0,9485,uf,herp,9560-1,Anolis,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
37747,,0,19915,,0,9485,uf,herp,9560-1,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37748,,0,19915,,0,9485,uf,herp,9560-1,Anolis,carolinensis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
37749,,0,19915,,0,9485,uf,herp,9560-1,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,22319,,0,10781,uf,herp,92079,Mertensophryne,lonnbergi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43488,,0,22319,,0,10781,uf,herp,92079,Mertensophryne,lonnbergi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,10307,,0,4243,UF,H,98441,Triprion,petasatus,7,0,0,0,0,0,2,0,0,2,0,0,4,3,0,0,,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,
14970,,0,10307,,0,4243,UF,H,98441,Triprion,petasatus,4,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,
14971,,0,10307,,0,4243,UF,H,98441,Triprion,petasatus,3,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,
,,,13895,,0,5517,UF,H,66,Anolis,carolinensis,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
24360,,0,13895,,0,5517,UF,H,66,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24361,,0,13895,,0,5517,UF,H,66,Anolis,carolinensis,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
24362,,0,13895,,0,5517,UF,H,66,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,13896,,0,5518,UF,H,1177-2,Anolis,carolinensis,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,
24363,,0,13896,,0,5518,UF,H,1177-2,Anolis,carolinensis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
24364,,0,13896,,0,5518,UF,H,1177-2,Anolis,carolinensis,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
24365,,0,13896,,0,5518,UF,H,1177-2,Anolis,carolinensis,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
,,,13897,,0,5519,UF,H,1964-1,Anolis,carolinensis,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,
24368,,0,13897,,0,5519,UF,H,1964-1,Anolis,carolinensis,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
24366,,0,13897,,0,5519,UF,H,1964-1,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24367,,0,13897,,0,5519,UF,H,1964-1,Anolis,carolinensis,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
,,,13898,,0,5520,UF,H,1964-2,Anolis,carolinensis,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,
24369,,0,13898,,0,5520,UF,H,1964-2,Anolis,carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24370,,0,13898,,0,5520,UF,H,1964-2,Anolis,carolinensis,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
24371,,0,13898,,0,5520,UF,H,1964-2,Anolis,carolinensis,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
,,,13899,,0,5521,UF,H,2179-1,Anolis,carolinensis,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,
